airline_code,airline_name,website,airline_name_zh
A0,Macair Jet,http://www.lavion.com,阿根廷哥倫比亞航空
A2,Astra Airlines,http://www.cielos-airlines.com,阿斯特拉航空
A3,Aegean Airlines,http://www.aegeanair.com,愛琴海航空
A4,Azimuth,https://azimuth.ru,方位角航空
A5,HOP!,https://www.hop.fr,法國霍普航空
A6,Yunnan Hongtu Airline,https://www.a6air.com/,湖南航空
A7,Aéreo Calafia,https://www.calafiaairlines.com,彗星航空
A8,Aerolink Uganda,http://www.ameriflight.com/,艾羅連克烏幹達
A9,Georgian Airways,https://www.georgian-airways.com/,喬治亞航空
AA,American Airlines,https://www.aa.com,美國航空
AB,Bonza,https://www.airberlin.com,柏林航空
AC,Air Canada,http://www.flytango.com,加拿大航空
AD,Azul Brazilian Airlines,http://www.voeazul.com.br/,藍色巴西航空
AE,Mandarin Airlines,https://www.mandarin-airlines.com/,華信航空
AF,Air France,https://www.airfrance.com/,法荷航貨運
AG,Aruba Airlines,https://www.arubaairlines.com/,阿格尼航空
AH,Air Algerie,https://airalgerie.dz/,阿爾及利亞航空
AI,Air India,http://home.airindia.in,印度航空
AJ,Aztec Worldwide Airlines,http://www.flyaero.com/,阿茲特克全球航空
AK,AirAsia,http://www.airasia.com/,亞洲航空
AL,Air Leisure,http://www.air-leisure.com,悠閒風行航空
AM,AeroMexico,https://aeromexico.com/es-mx/,墨西哥旅遊航空
AN,HOP Airlinair,https://www.andorraairlines.com/,澳洲安捷航空
AP,AlbaStar,http://www.albastar.es,阿爾巴之星航空
AQ,9 Air,http://9air.com,九元航空
AR,Aerolíneas Argentinas,http://www.airregional.webs.com/,阿根廷航空
AS,Alaska Airlines,https://www.alaskaair.com,阿拉斯加航空
AT,Royal Air Maroc,http://www.adastral.com.au,摩洛哥皇家航空貨運
AU,Austral Líneas Aéreas,http://www.austral.com.ar,阿根廷南方航空
AV,Avianca,https://www.avianca.com,哥倫比亞航空
AW,Africa World Airlines,http://www.flyAfricaWorld.com/,非洲世界航空
AX,Trans States Airlines,http://www.transstates.net/,特蘭斯州航空
AY,Finnair,https://www.finnair.com/,芬蘭航空
AZ,Alitalia,https://www.ita-airways.com/,義大利航空貨運
B0,La Compagnie,https://www.lacompagnie.com,La Compagnie
B1,Cions Software,http://www.airbucharest.ro/,布加勒斯特航空
B2,Belavia,https://belavia.by,白俄羅斯航空
B3,Bhutan Airlines,http://www.flybellviewair.com/,貝爾韋尤航空
B4,Zanair,http://www.bhojaair.com.pk/home/,博雅航空
B5,Fly-SAX,https://bbnairlines.aero/,弗萊-薩克斯
B6,JetBlue,https://www.jetblue.com/,捷藍航空
B7,Uni Airways,http://www.voebra.com.br/,立榮航空
B8,Eritrean Airlines,http://www.eritrean.aero/,厄利垂亞航空
B9,Iran Air Tours,http://www.caribair.com.do/ingles/index.html,伊朗艾爾圖爾斯
BA,British Airways,https://www.britishairways.com,英國海外航空
BB,Seaborne Airlines,http://www.seaborneairlines.com/,西博恩航空
BC,Skymark Airlines,http://www.skymark.co.jp,天馬航空
BD,Cambodia Bayon Airlines,http://www.bayonairlines.com,柬埔寨巴戎航空
BE,Flybe,http://www.flybe.com,弗萊比航空
BF,French Bee,https://www.frenchbee.com/,法國蜜蜂航空
BG,Biman Bangladesh Airline,http://www.biman-airlines.com,孟加拉航空
BH,Hawkair,http://www.hawkair.ca,霍克艾爾
BI,Royal Brunei,https://www.flyroyalbrunei.com/,汶萊皇家航空
BJ,Nouvelair,https://www.nouvelair.com/,尼韋爾航空
BK,Okay Airways,http://www.okair.net/,奧凱航空
BL,Jetstar Pacific Airlines,https://www.pacificairlines.com/,太平洋航空 (越南)
BM,bmi regional,https://medsky.aero/,英倫航空 (2018年)
BN,Luxwing Ltd,https://www.luxwing.com/,布蘭尼夫國際航空 (1928年)
BO,BB Airways,http://www.bouraq.com,比比航空
BP,Air Botswana,https://www.airbotswana.co.bw/,波札那航空
BR,EVA Air,https://www.evaair.com/,英亞航空
BS,US-Bangla Airlines,https://www.usbair.com/,孟加拉優速航空
BT,airBaltic,http://www.airbaltic.com/,波羅的海航空
BU,Compagnie Africaine d'Aviation,http://www.sasbraathens.no/,布羅滕航空
BV,Blue Panorama Airlines,https://tokiair.com/,藍景航空
BW,Caribbean Airlines,http://www.caribbean-airlines.com,加勒比航空
BX,Air Busan,http://en.coastair.no/,海岸航空中心
BY,Thomson Airways,https://www.tui.co.uk,英國途易航空
BZ,Bluebird Airways,https://www.bluebirdair.com/,藍鏢航空
C2,Ceiba Intercontinental,http://www.airt.net/,木棉洲際航空
C3,Trade Air,http://www.trade-air.com/,康塔克特航空
C4,Alma De Mexico,http://www.alma.com.mx/,阿爾瑪德墨西哥
C5,CommutAir,https://www.commuteair.com,康莫特艾爾
C6,Canjet Airlines,https://www.centrum-air.com/en,坎傑特艾瑞恩斯
C7,Cinnamon Air,https://www.cinnamonair.com,智利大陸航空
C8,Cronos Airlines,https://www.cargolux-italia.com/,克羅諾斯艾倫斯
C9,Skywise,https://www.skywise.co.za,斯凱威斯
CA,Air China,http://www.airchinaim.com/,中國國際航空內蒙古公司
CB,Trans Caribbean Air ExportImport,http://www.sucklingairways.co.uk,特蘭斯 卡里比安 艾爾 埃克斯波特 伊姆波特
CC,CM Airlines,https://airatlanta.com,亞特蘭大冰島航空
CD,Corendon Dutch Airlines,http://www.cohc.citic/operation.aspx?tid=331,中信海直
CE,Chalair Aviation,https://www.chalair.fr/,查萊爾艾維艾森
CF,China Postal Airlines,http://cityairline.com,中國郵政航空
CG,PNG Air,http://www.apng.com/,巴布亞紐幾內亞航空
CH,Bemidji Airlines,https://www.bemidjiaviation.com/,貝米吉航空
CI,China Airlines,https://www.china-airlines.com,中華航空
CJ,BA CityFlyer,http://www.cna.com.cn,英航城市飛行者
CK,China Cargo Airlines,https://www.ckair.com/,中國貨運航空
CL,Lufthansa CityLine,http://www.lot.com/us/en/lot-charters-about-us,漢莎城際航空
CM,Copa Airlines,https://www.copaair.com,巴拿馬航空
CN,Grand China Air,https://www.grandchinaair.com,大新華航空
CO,Cobalt Air,http://www.nwairlines.com.cn/,深藍航空
CP,Compass Airlines,https://www.fly7.ch/,加拿大太平洋航空
CQ,Coastal Travels,http://www.sunshineexpress.com.au/,科斯塔爾特拉弗斯
CR,OAG Worldwide,http://www.ubmaviation.com,歐艾吉威爾德
CS,Comlux Aruba,http://www.chair.ch/,卓爾航空
CT,Alitalia CityLiner,http://www.airsofia.com,義大利城市快線航空
CU,Cubana De Aviacion,http://www.cubana.cu/,古巴航空
CV,Cargolux,https://www.cargolux.com/Home,查塔姆航空
CX,Cathay Pacific,https://www.cathaypacific.com,國泰航空
CY,Charlie Airlines,https://www.cyprusairways.com/,塞普勒斯航空 (2016年)
CZ,China Southern Airlines,http://www.csair.com/,中國南方航空
D0,DHL Air UK,http://www.dhl.com/en.html,迪艾赫 艾爾 優凱
D2,Severstal Air Company,http://www.severstal-avia.ru/,北方鋼鐵航空
D3,Daallo Airlines,http://www.daallo.biz/,達洛航空
D4,DART Ltd,http://aerodart.com.ua/,達特有限公司
D6,Interair,http://www.interair.co.za/,南非國際航空
D7,AirAsia X,http://www.airasiax.com,亞洲航空長途
D8,Norwegian Air International,https://www.norwegian.com/se/,挪威國際航空
D9,Donavia,http://www.aeroflot-don.ru,多納維亞
DA,Air Georgia,http://www.vuelesol.com,德安航空
DB,HOP Brit Air,http://www.britair.com,不列特航空
DC,Braathens Regional Airways,http://www.sundsvallsflyg.se/,金色航空
DD,Nok Air,http://www.nokair.com/,皇雀航空
DE,Condor,https://www.condor.com,神鷹航空
DF,Condor Berlin,http://www.center-south.ru/,康多爾柏林
DG,Cebgo,http://www.flyseair.com,宿翱航空
DH,Douniah Airlines,https://www.norwegian.com,挪威挪威航空
DI,Norwegian Air UK,https://flymarabu.com/,英國挪威航空
DJ,AirAsia Japan,http://air-djibouti.com/,日本亞洲航空
DK,Thomas Cook Airlines,https://no.sunclassairlines.dk/,斯堪航空
DL,Delta Air Lines,http://www.flydlx.com/,達美快線航空
DM,Arajet,https://www.arajet.com/,阿拉捷
DN,Norwegian Air Argentina,https://danair.ro/,阿根廷挪威航空
DO,Discovery Airways,https://skyhighdo.com,迪斯科維航空
DP,Pobeda,http://www.pobeda.aero/,勝利航空
DR,Ruili Airlines,http://www.rlair.net,蘇南瑞麗航空
DS,easyJet Switzerland,http://www.easyjet.com,瑞士易捷航空
DT,Taag,http://www.taag.com/,TAAG安哥拉航空
DU,Norwegian Long Haul,http://airliaison.ca/,挪威長途航空
DV,SCAT Airlines,https://sundayairlines.kz/,斯卡特航空
DW,Great Dane Airlines,https://greatdaneairlines.dk/,大丹航空
DX,Danish Air Transport,http://www.dat.dk,DAT航空
DY,Norwegian Air Shuttle (NAS),https://www.norwegian.no/,葉門航空 (1971年)
DZ,Donghai Airlines,http://www.starline.kz/,東海航空
E2,Eurowings Europe,https://www.eurowings.com/at.html,歐羅旺斯歐洲
E3,New Gen Airways,http://www.newgenairways.com/,新時代航空
E4,Enter Air,https://www.enterair.pl/en,安特航空
E5,Air Arabia Egypt,http://www.samara-airlines.ru,埃及阿拉伯航空
E6,Bringer Air Cargo,https://www.eurowings.com/,歐羅巴歐洲之翼航空
E7,Equaflight Service,http://www.equaflight.com/,艾誇飛特 賽維斯
E8,City Airways,https://www.tayaranjet.com/,都市航空
E9,Evelop Airlines,https://www.iberojet.com/,伊比利亞捷航空
EB,Wamos Air,http://www.emeryworld.com/eww/emeryweb/,瓦莫斯艾爾
EC,easyJet Europe,https://www.easyjet.com,歐洲易捷航空
ED,Air Explore,http://www.palaupacificairways.com,帛琉太平洋航空
EE,Nordica,https://xfly.ee/,諾迪卡航空
EF,Fly CamInter,https://www.eznis.com/,伊斯尼斯航空
EG,East Air,https://flyernest.com,東方航空 (塔吉克)
EH,ANA Wings,http://www.saeta.com.ec/,全日空之翼航空
EI,Aer Lingus,http://www.aerlingus.com,愛爾蘭航空
EJ,New England Airlines,http://blockislandsairline.com/,紐英格蘭航空
EK,Emirates,https://www.skycargo.com/,阿聯酋貨運航空
EL,Ellinair,http://www.ellinair.com,日空航空
EM,Aero Benin,http://www.empireairlines.com,帝國航空 (1977年)
EN,Air Dolomiti,https://www.airdolomiti.it/,多洛米蒂航空
EO,Air Go Egypt,http://www.flyexpressone.com/,艾爾高埃及
EP,Iran Aseman Airlines,https://www.iaa.ir/,伊朗阿塞曼航空
EQ,TAME,https://www.tame.com.ec,厄瓜多航空
ER,SereneAir,https://www.sereneair.com/,塞瑞恩艾爾
ES,DHL International Aviation ME,https://www.estafeta.com/,迪爾艾爾 英特納什納爾 艾維耶申 米
ET,Ethiopian Airlines,https://www.ethiopianairlines.com,衣索比亞航空
EU,Chengdu Airlines,https://www.cdal.com.cn/,成都航空
EV,ExpressJet Airlines,http://www.flyasa.com,
EW,Eurowings,https://www.eurowings.com/,東西航空 (澳洲)
EX,Avianca Express,https://www.avianca.com,阿維安卡 艾普瑞斯
EY,Etihad Airways,https://www.etihad.com/,阿提哈德航空
EZ,Sun Air of Scandinavia,http://www.evergreenairlines.com/,長青國際航空
F2,Safarilink Aviation,https://www.flysafarilink.com/,區域貨運航空
F3,Flyadeal,http://www.fai.ag/,阿迪爾航空
F4,Air Flamenco,http://airflamenco.net,上海國際貨運航空
F6,Fly2sky,https://www.fly2sky.aero/,中國航空 (1929年)
F7,Etihad Regional,http://www.etihadregional.com/en/index.html,巴布航空
F8,Flair Airlines,https://flyflair.com/,天賦航空
F9,Frontier Airlines,https://www.flyfrontier.com/,邊疆航空
FA,Safair,https://www.flysafair.co.za/,薩法航空
FB,Bulgaria Air,https://www.air.bg/,保加利亞航空
FC,Fly Corporate,https://www.linkairways.com/,芬蘭通勤航空
FD,Thai AirAsia,http://www.airasia.com,泰國亞洲航空
FE,Far Eastern Air Transport,http://www.748airservices.com/,遠東航空
FG,Ariana Afghan Airlines,http://www.flyariana.com,阿里亞納阿富汗航空
FH,Freebird Airlines,https://www.freebirdairlines.com/tr,自由鳥航空
FI,Icelandair,http://www.icelandair.com,冰島航空
FJ,Fiji Airways,https://www.fijiairways.com/,斐濟連線航空
FK,Kelowna Flightcraft Air Charter,http://www.kivalliqair.com,凱洛納 飛克拉夫特 艾爾 查特
FL,Airtran Airways,https://flylili.com/,穿越航空
FM,Shanghai Airlines,http://www.shanghai-air.com,上海航空
FN,Royal Air Maroc Express,http://www.fastjet.com,摩洛哥皇家快運航空
FO,Felix Airways,https://flybondi.com/ar,費利克斯航空
FP,Pelican Airlines,http://www.freedomairguam.com/,
FQ,SOL SA LINEAS AEREAS (DBA Flyest Lineas Aereas),http://www.brindabellaairlines.com.au,索爾薩萊內亞斯埃雷亞斯（德比艾弗萊斯特萊內亞斯埃雷亞斯）
FR,Ryanair,https://www.ryanair.com/,瑞安航空
FS,Flyr,https://www.flyr.no/en,飛獅航空
FT,FlyEgypt,https://frost.aero/,暹粒國際航空
FU,Fuzhou Airlines,http://www.fuzhou-air.cn/,福州航空
FV,Rossiya,http://eng.pulkovo.ru/,羅西亞航空
FW,Ibex Airlines,https://www.ibexair.co.jp/,伊別克斯航空
FX,Fedex,https://www.fedex.com/,聯邦快遞航空
FY,Flyfirefly,http://www.fireflyz.com.my,飛螢航空
FZ,flydubai,https://www.flydubai.com/,杜拜航空
G0,Alianza Glancelot,http://www.albatrosair.aero,阿利安薩格蘭塞洛特
G3,Gol Transportes Aéreos,http://www.voegol.com.br,高爾航空
G4,Allegiant Air,https://www.allegiantair.com/,貴州航空
G5,China Express Airlines,https://www.gestair.com/es,華夏航空
G6,Denim Air,https://globalxair.com/,吳哥航空
G7,GoJet Airlines,http://www.gojetairlines.com/,高捷航空
G8,Go First,https://www.flygofirst.com/,捷行航空
G9,Air Arabia,https://www.airarabia.com/,阿拉伯航空
GA,Garuda Indonesia,https://www.garuda-indonesia.com/,嘉魯達印尼航空
GB,ABX Air,https://www.abxair.com/,艾比艾克航空
GC,Global Feeder Services,http://www.gia.gm/,格洛波爾 費德爾 服務
GD,Aviair,http://www.taesa.com.mx,銀河國際貨運航空
GE,TransAsia Airways,http://www.tna.com.tw,復興航空
GF,Gulf Air,https://www.gulfair.com,海灣航空
GG,Sky Lease Cargo,http://www.skyleasecargo.com/,斯凱利斯卡戈
GH,Globus,https://georgian-airlines.com/,全球巴士航空
GI,Itek Air,http://www.mirinet.com/AirGuinee/,中原龍浩航空
GJ,Zhejiang Loong Airlines,http://www.loongair.cn,長龍航空
GK,Jetstar Japan,http://www.jetstar.com/jp/ja/home,捷星日本航空
GL,Air Greenland,http://airgreenland.com,格陵蘭航空
GM,Chair Airlines,http://www.holidayjet.ch/de/,假日噴射航空
GO,Go,http://www.airghana.com,高
GP,APG Airlines,http://www.apg-airlines.com,中國通用航空
GQ,Sky Express,http://www.bigskyair.com/,斯凱快運
GR,Aurigny Air Services,http://www.aurigny.com,奧里尼艾爾塞弗斯
GS,Tianjin Airlines,https://www.tianjin-air.com,天津航空
GT,Air Guilin,http://www.airguilin.com/,桂林航空
GU,Aviateca,http://www.avianca.com/es-gt,艾維亞特卡
GV,Grant Aviation,http://www.skygabon.com/,加彭天空航空
GW,SkyGreece Airlines,https://costaricagreenair.com/,斯凱格瑞斯航空
GX,Guangxi Beibu Gulf Airlines,http://www.gxairlines.com,安大略航空
GY,Colorful Guizhou Airlines,http://www.dcair.net/,加彭航空
GZ,Air Rarotonga,http://www.airraro.com/,拉羅湯加航空
H2,Sky Airline,http://www.citybird.com,天空航空 (智利)
H3,Harbour Air,https://www.hellojets.com/,赫耳墨斯航空
H6,Bulgarian Air Charter,http://www.hageland.com,布林加利亞航空包機
H7,Eagle Air,https://www.hisky.md/,伊格爾航空
H9,Himalaya Airlines,http://www.himalaya-airlines.com/,喜馬拉雅航空
HA,Hawaiian Airlines,https://www.hawaiianairlines.com/,夏威夷航空
HB,Asia Atlantic Airlines,http://www.asiaatlanticairlines.com/,AirThailand
HC,Air Senegal,https://flyairsenegal.com/en/home/,冰島快運航空
HD,Air Do,https://www.airdo.jp/en/,AIRDO
HE,LGW Luftfahrtges Walter,https://www.baraviationug.com/,One Air航空
HF,Air Cote D Ivoire,http://www.hapagfly.com/,象牙海岸航空
HH,Taban Airlines,https://www.qanotsharq.com/,塔班航空
HJ,Hellas Jet,http://www.tasmancargo.com/,赫拉斯捷特
HK,Skippers Aviation,http://www.hogakustenflyg.se,斯基珀斯航空
HM,Air Seychelles,http://www.airseychelles.com,塞席爾航空
HN,Afghan Jet International,https://heston.aero,阿富汗捷特國際航空
HO,Juneyao Airlines,https://www.juneyaoair.com/,吉祥航空
HP,Amapola Flyg,https://www.amapola.nu/,阿馬波拉弗萊格
HQ,Thomas Cook Airlines Belgium,http://www.harmonyairways.com/,國龍航空
HR,Hahn Air,http://www.hahnair.com/,漢艾爾
HS,Heli Sécurité,http://www.direktflyg.com/?menuId=569,海利塞瑞提
HU,Hainan Airlines,https://www.hainanairlines.com/,海南航空
HV,Transavia Airlines,http://www.transavia.com,泛航航空
HW,North Wright Air,https://north-wrightairways.com/,冰島快運航空
HX,Hong Kong Airlines,http://www.hongkongairlines.com,香港航空
HY,Uzbekistan Airways,http://www.uzairways.com,烏茲別克航空
HZ,Aurora Airlines,http://www.flyaurora.ru/en,阿芙羅拉航空
I2,Iberia Express,http://www.iberiaexpress.com,西班牙快運航空
I3,ATA Airlines,http://www.ataair.ir/,ATA航空 (伊朗)
I4,Scott Air,http://interislandairlines.com/,斯科特艾爾
I5,AirAsia India,http://www.airasia.com/in/en/home.page,印度亞洲航空
I6,Air Indus,http://www.mexicana.com/,艾爾印都斯
I7,Int'Air Îles,http://www.inter-iles-air.com/,安特艾爾伊勒
I8,Izhavia,http://www.indonesia-air.com/,伊扎維亞
IA,Iraqi Airways,http://www.iraqiairways.com.iq,伊拉克航空
IB,Iberia,https://www.iberia.com/,西班牙國家航空
IC,Nacil Indian Airline,https://fly91.in/,印度人航空
ID,Batik Air,http://www.flyinterlink.co.za//,互連航空
IE,Solomon Airlines,http://www.flysolomons.com/,所羅門航空
IF,FlyBaghdad,http://www.flybaghdad.net/,德意志民主共和國國際航空
IG,Air Italy,https://www.airitaly.com/,義大利航空 (2018年)
IH,Jsc Irtysh Air,http://www.ukinternationalairlines.com/,
II,IBC Airways,http://www.ibcairways.com/,艾比西航空
IJ,Spring Airlines Japan,https://meraj.aero/,大日本航空
IK,Air Kiribati,https://ikar.aero,吉里巴斯航空
IL,Trigana Air Service,http://www.trigana-air.com,特里迦納航空
IM,Mint Líneas Aéreas,http://www.menajet.com/,澳亞航空 (1990年)
IN,NAM Air,http://www.flynamair.com,楠航空
IO,IrAero,https://iraero.ru/,艾爾艾羅
IP,Iberworld Airlines,http://www.apsara-airline.com,伊伯沃爾德艾爾蘭斯
IQ,Qazaq Air,https://vietjetqazaqstan.kz/,奧格斯堡航空
IR,Iran Air,http://www.iranair.com,伊朗航空
IS,AIS Airlines,https://www.flysepehran.ir,AIS航空
IT,Tigerair Taiwan,https://www.tigerairtw.com/,臺灣虎航
IV,Air Djibouti,http://www.gp-aviation.net/,艾爾吉布提
IW,Wings Air,http://www.flyaom.com,飛翼航空
IX,Air India Express,http://www.airindiaexpress.in,印度快運航空
IY,Yemen Airways,http://yemenia.com/,葉門航空
IZ,Arkia,http://www.arkia.com/,阿基亞以色列航空
J0,Jetlink Express,http://www.jetlineexpress.co.uk/,
J1,OntJet,http://www.onejet.com/,昂特杰特
J2,Azerbaijan Airlines,http://www.butaairways.az/,亞塞拜然捷特航空
J3,Northwestern Air Lease,http://www.nwal.ca/,加拿大西北航空
J4,Badr Airlines,http://www.jiac.com.jo/,巴德航空
J6,Jet-Ops,http://www.jamaicaairshuttle.com/,朱恩航空
J7,Afrijet Business Service,http://www.aircroatia.eu,瓦盧傑航空
J8,Berjaya Air,https://berjaya-air.com,伯爾賈雅航空
J9,Jazeera Airways,http://www.jazeeraairways.com,半島航空
JA,Jetsmart,https://jetsmart.com/us/en/,波斯尼亞和黑塞哥維那航空
JB,Helijet International,https://helijet.com/,海利捷國際
JC,Japan Air Commuter,http://www.jal.co.jp/jex,日本航空快運
JD,Beijing Capital Airlines,http://www.jas.co.jp/,日本佳速航空
JE,Mango,http://www.flymango.com/,芒果航空
JF,Jet Asia Airways,http://www.labflying.com/,捷特亞洲航空
JG,Jetgo Australia,https://www.jdairlines.com/en/,杰特高澳斯特利亞
JH,Fuji Dream Airlines,http://www.voeflex.com.br,丑角航空
JI,Eastern Caribbean Airlines,https://armenianairlines.am/en,中途航空 (1993年)
JJ,LATAM Brasil,http://www.aviogenex.com/,巴西南美航空
JL,Japan Airlines,https://www.jal.co.jp/jp/en/,日本航空
JM,Jambojet,http://www.jambojet.com,捷星香港航空
JN,Alaska Air Transit,http://www.livingstonair.it,朱恩航空
JO,Jet Time,http://jasmin-airways.com/,日線航空
JQ,Jetstar,https://www.jetstar.com/us/en/,捷星航空
JR,Joy Air,http://www.joy-air.com/,幸福航空
JS,Air Koryo,http://www.airkoryo.com.kp/?__lang=zh_CN,高麗航空
JT,Lion Air,http://www.lionair.co.id/,獅子航空
JU,Air Serbia,http://www.aviolet.rs/,Aviolet
JV,Bearskin Airlines,https://www.bearskinairlines.com,比爾斯金艾爾蘭斯
JW,Vanilla Air,http://www.vanilla-air.com,香草航空
JX,DAC East Africa,https://www.starlux-airlines.com/,星宇航空
JY,InterCaribbean Airways,https://www.intercaribbean.com/,英特加勒比航空
K3,Taquan Air Services,http://www.taquanair.com,塔誇恩艾爾塞弗瑞斯
K4,ALS,http://als.co.ke,卡利塔航空
K5,SeaPort,http://www.silverstoneair.com,西波特
K6,Cambodia Angkor Air,http://khalifaairways-dz.com,柬埔寨國家航空
K7,Air KBZ,http://www.airkbz.com/,珊瑚藍航空
K8,Kan Air,http://www.flywaa.com,坎艾
K9,Kalitta Charters,http://www.kalittacharters.com/,通裡薩航空
KA,Cathay Dragon,http://www.dragonair.com,國泰港龍航空
KB,Druk Air,https://www.drukair.com.bt,不丹皇家航空
KC,Air Astana,http://www.airastana.com/,阿斯塔納航空
KD,Western Global Airlines,http://www.kalstaronline.com,卡爾星空航空
KE,Korean Air,https://www.koreanair.com/,大韓航空
KF,Air Belgium,http://airbelgium.com/,比利時航空 (2016年)
KG,Aerogaviota,https://www.keylimeair.com/,青檸航空
KH,Aloha Air Cargo,http://www.ska-arabia.com/,
KI,KrasAvia,http://www.skywayent.com,克拉斯諾亞爾斯克航空 (1956年)
KJ,Air Incheon,http://www.air-incheon.com/en/,仁川航空
KK,AtlasGlobal,https://www.leav.com/,環子午線貨運航空
KL,KLM,https://www.klm.com,荷蘭亞洲航空
KM,Air Malta,https://kmmaltairlines.com,KM馬爾他航空
KN,China United Airlines,http://www.maroomba.com.au/,中國聯合航空
KO,Komiaviatrans,http://www.komiaviatrans.ru/,科米艾維艾傳
KP,ASKY Airlines,https://www.kiwi.com,阿斯凱航空
