airport_code,airport_name,airport_name_zh
AAA,Anaa Airport,阿納機場
AAB,Arrabury Airport,阿拉貝里機場
AAC,El Arish International Airport,none
AAD,Adado Airport,none
AAE,Annaba Airport,拉巴赫·比塔特机场
AAF,Apalachicola Regional-Cleve Randolph Field,none
AAG,Arapoti Airport,none
AAH,Aachen-Merzbruck Airport,none
AAI,Arraias Airport,none
AAJ,Cayana Airstrip,none
AAK,Buariki Airport,阿拉努卡機場
AAL,Aalborg Airport,none
AAM,Malamala Airport,馬拉馬拉機場
AAN,Al Ain International Airport,艾因國際機場
AAO,Anaco Airport,none
AAP,Aji Pangeran Tumenggung Pranoto International Airport,阿吉王爵天猛公普拉诺托国际机场
AAQ,Anapa Airport,none
AAR,Aarhus Airport,none
AAT,Altay Air Base,阿勒泰雪都机场
AAU,Asau Airport,阿紹機場
AAV,Allah Valley Airport,none
AAW,Abbottabad Airport,none
AAX,Araxa Airport,none
AAY,Al Ghaidah International Airport,none
AAZ,Quezaltenango Airport,none
ABA,Abakan Airport,none
ABB,Asaba International Airport,none
ABC,Albacete-Los Llanos Airport,none
ABD,Abadan Airport,none
ABE,Lehigh Valley International Airport,none
ABF,Abaiang Airport,阿拜昂環礁機場
ABG,Abingdon Downs Airport,none
ABH,Alpha Airport,none
ABI,Abilene Regional Airport,none
ABJ,Port Bouet Airport,阿比让费利克斯·乌弗埃-博瓦尼国际机场
ABK,Kabri Dehar Airport,none
ABL,Ambler Airport,none
ABM,Bamaga Injinoo Airport,none
ABO,Aboisso Airport,none
ABQ,Albuquerque International Sunport Airport,阿爾伯克基國際機場
ABR,Aberdeen Regional Airport,none
ABS,Abu Simbel Airport,none
ABT,Al Baha Airport,none
ABU,Haliwen Airport,none
ABV,Nnamdi Azikiwe International Airport,纳姆迪·阿齐基韦国际机场
ABX,Albury Airport,none
ABY,Southwest Georgia Regional Airport,none
ABZ,Aberdeen Dyce Airport,阿伯丁机场
ACA,General Juan N Alvarez International Airport,none
ACB,Antrim County Airport,none
ACC,Kotoka International Airport,科托卡国际机场
ACD,Alcides Fernandez Airport,none
ACE,Lanzarote Airport,兰萨罗特机场
ACF,Aral Talim Airport,none
ACH,St Gallen Altenrhein Airport,none
ACI,Alderney Airport,none
ACJ,Anuradhapura Airport,none
ACK,Nantucket Memorial Airport,none
ACN,Ciudad Acuna New International Airport,none
ACO,Cobano Airport,none
ACP,Sahand Airport,none
ACR,Araracuara Airport,none
ACS,Achinsk Airport,none
ACT,Waco Regional Airport,none
ACV,California Redwood Coast-Humboldt County Airport,none
ACX,Xingyi Airport,兴义万峰林机场
ACY,Atlantic City International Airport,大西洋城國際機場
ACZ,Zabol Airport,none
ADA,Adana Airport,none
ADB,Adnan Menderes International Airport,伊茲密爾阿德南·曼德列斯機場
ADC,Andakombe Airport,none
